"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,2995,3000,2900,3150,3250,2850,2800,2850,2872.5,2995,3150,3000,2997,3000,3000,3000,3195,3200,3000,3117.5,3400,3500,3500,3500,3350,3300,3400,3200,3200,3200,3100,3200,3295,3250,3252.5,3299.5,3300,3300,3350,3370,3350,3300,3500,3400,3695,3750,3700,3574.5,3600,3500,3500,3444.5,3500,3500,3500,3400,3525,3670,3600,3500,3625,3795,3517,3600,3500,3500,3400,3500,3500,3500,3500,3497.5,3500,3500,3500,3500,3500,3450
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,1975,1650,1612.5,1645,1695,1695,1700,1700,1640,1700,1700,1700,1700,1695,1650,1600,1650,1650,1700,1700,1700,1800,1850,1900,1850,1800,1800,1650,1700,1715,1800,1800,1800,1850,1867.5,1900,1875,1835,1850,1795,1750,1750,1795,1795,1795,1795,1800,1795,1775,1797,1797.5,1750,1825,1795,1850,1850,1850,1850,1850,1850,1850,1875,1875,1895,1895,1887.5,1932.5,1900,1885,1900,1900,1825,1837.5,1950,1950,1995,1950,1950,1950
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,5295,5115,5115,5048,5200,5000,5000,5470,5295,5000,5000,5000,5079,4900,5000,5048,5022.5,5048,5000,4962.5,5000,4900,4625,4990,4900,4860,4888,4800,4800,4937.5,4900,4912.5,5000,5000
"60614","Chicago","IL","Chicago","Cook",4,,,,,,,,,,,,,1725,1725,1650,1712.5,1795,1800,1800,1850,1950,1950,1975,1982.5,1900,1875,1895,1962.5,2007.5,2095,2250,2300,2400,2250,2300,2200,2100,1895,2000,2100,2000,1995,2100,2100,2100,2200,2250,2200,2160,2100,2000,1900,1995,2000,2000,2000,2055,2120,2100,2175,2050,1850,1995,2000,2000,1995,2045,2000,2000,2095,2040,2050,2250,2200,2100,2000,2095,1995,2000,2055,2150,1999,2015,2097.5,2075,2055,2085,2087.5,2052.5
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,2500,2500,2600,2787.5,2800,2750,2850,2850,2995,3100,3325,3200,3000,3100,3000,3095,3100,3000,3095,3100,3195,3100,3100,3100,3100,3195,3200,3200,3295,3200,3125,3100,3100,3100,3100,3100,3100,3100,3150,3200,3250,3250,3250,3200,3195,3250,3295,3150,3250,3250,3300,3295,3325,3300,3295,3300,3254,3295,3200,3300,3400,3400,3300,3300,3497.5,3295,3300,3300,3200,3387,3200,3200,3300,3300,3300,3450,3471
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,1350,1350,1305,1305,1305,1395,1350,1350,1395,1395,1325,1395,1395,1400,1350,1400,1400,1400,1450,1495,1495,1495,1450,1450,1450,1450,1447.5,1400,1475,1500,1505,1505,1525,1495,1495,1495,1495,1495,1495,1500,1505,1500,1550,1550,1595,1500,1500,1500,1500,1525,1495,1505,1550,1522.5,1562.5,1600,1600,1595,1550,1500,1550,1550,1600,1595,1595,1595,1550,1575,1597.5,1587.5,1500,1550,1600,1600,1700,1695,1650,1625
"10467","New York","NY","New York","Bronx",7,,,,,,,,,,,,,,,,,,,,1400,1400,1400,1400,1400,1395,1400,1395,1400,1400,1400,1450,1400,1450,1380,1475,1450,1400,1450,1450,1450,1500,1500,1500,1492.5,1495,1450,1450,1450,1450,1450,1450,1485,1400,1450,1450,1450,1430,1475,1500,1500,1500,1500,1500,1500,1500,1547.5,1500,1500,1550,1550,1500,1550,1550,1595,1600,1600,1600,1600,1597,1650,1650,1663,1695,1650,1650,1695,1700,1695,1700
"77084","Houston","TX","Houston","Harris",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186,1193,1186,1187,1169,1271,1139,1152,1152,1152,1115,1058,1165,1183,1116,1139
"94109","San Francisco","CA","San Francisco","San Francisco",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3950,3757,4080,4300,4300,4500,4500,4500,4750,4700,4700,4700,4700,4600,4500,4600,4600,4695,4600,4550,4600,4700,4675,4700,4695,4750,4650,4695,4697.5,4800,4800,4800,4800,4775,4662.5,4662.5,4800,4775,4700,4625,4700,4600,4700,4495,4502,4699,4625,4699,4495,4472.5,4400,4355,4375,4375
"75070","McKinney","TX","Dallas-Fort Worth","Collin",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1315,1300,1300,1325,1266.5,1330,1425,1330,1264,1255,1330,1417.5,1330,1275,1306,1308,1367.5,1403.5,1378,1392,1439,1389.5,1321,1251,1301,1365,1363,1287,1352,1413,1287,1375,1342.5,1323,1293.5,1322.5,1320,1313,1434.5,1465,1475,1370
"11226","New York","NY","New York","Kings",11,,,,,,,,,,,,,,,,,1550,1550,1550,1550,1500,1500,1575,1625,1500,1499,1500,1500,1600,1550,1600,1600,1600,1550,1550,1599.5,1510,1650,1650,1700,1708,1700,1750,1800,1800,1700,1750,1800,1800,1800,1800,1800,1850,1900,1900,1900,1900,1875,1850,1895,1899,1899.5,1900,1950,1950,1962.5,2000,2000,2099,2000,1999,1999,1975,1995,2000,2000,2100,2100,2000,2100,2250,2150,1975,1995,1950,1992.5,1995,1999,2000
"77494","Cinco Ranch","TX","Houston","Fort Bend",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,1482,1443.5,1425,1414,1439,1443,1675,1562.5,1450,1547.5,1528,1582,1557.5,1550,1560,1524,1437.5,1555,1539,1460,1528,1595
"11375","New York","NY","New York","Queens",13,,,,,,,,,,,,,,,,1800,1925,1950,1950,1850,1850,1975,1900,1995,2000,2000,1950,1972.5,2000,2085,2182.5,2150,2000,2050,2100,2050,2100,2100,2150,2150,2250,2295,2325,2350,2295,2350,2350,2350,2300,2295,2300,2350,2350,2395,2385,2400,2400,2400,2400,2395,2365,2395,2475,2499.5,2400,2415,2450,2400,2450,2499,2472.5,2450,2495,2472.5,2495,2400,2400,2385,2500,2500,2500,2500,2500,2500,2500,2500,2500,2400,2450
"10016","New York","NY","New York","New York",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4700,4660,4600,4605,4650,4530,4495,4595,4750,4562.5,4500,4397.5,4300,4422.5,4295,4500,4502.5,4495,4497.5,4300,4272.5,4395,4295,4195,4295,4397.5,4295,4200,4200,4250,4295,4250,4295,4450,4295
"11235","New York","NY","New York","Kings",15,,,,,,,,,,,,,,,,,,1700,1675,1650,1725,1700,1650,1625,1650,1600,1625,1700,1652.5,1650,1700,1700,1700,1700,1775,1800,1800,1812.5,1795,1800,1800,1800,1825,1800,1801,1800,1825,1850,1800,1800,1800,1800,1850,1895,1900,1900,1900,1900,1900,1900,1900,1900,2000,2025,2200,2000,2050,2250,2250,2172.5,2250,2112.5,2062.5,2050,2100,2150,2195,2125,2112.5,2100,2150,2225,2200,2250,2207.5,2247.5,2200,2295,2250
