"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,4100,4000,4250,4275,4374.5,4100,4100,4200,4200,4200,4200,4250,4550,4700,4700,4500,4500,4500,4500,4500,4412.5,4450,4395,4250,4000,4300,4400,4340,4350,4390,4462.5,4495,4372.5,4250,4500,4500,4500,4625,4600,4500,4500,4800,4722.5,4300,4450,4500,4397.5,4575,4395,4395,4395,4395,4372.5,4325,4395,4400,4400,4500,4500,4500,4300,4500,4600,4325,4500,4400,4500,4475,4362.5,4297.5,4250
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,2350,2350,2450,2400,2325,2400,2400,2400,2500,2500,2455,2380,2475,2400,2400,2300,2400,2500,2500,2600,2550,2750,2750,2600,2550,2600,2325,2500,2600,2600,2600,2500,2495,2437.5,2400,2400,2450,2495,2500,2500,2600,2600,2595,2550,2500,2500,2500,2500,2500,2500,2400,2550,2625,2600,2650,2500,2497,2450,2420,2495,2500,2687,2625,2600,2700,2685,2700,2600,2600,2550,2467,2595,2500,2580,2695,2645,2700,2700
"60614","Chicago","IL","Chicago","Cook",3,,,,,,,,,,,2500,2400,2400,2345,2395,2500,2557.5,2550,2575,2500,2500,2495,2500,2450,2472.5,2400,2400,2600,2700,2925,2775,2900,3000,2850,2700,2700,2450,2625,2600,2700,2650,2700,2572.5,2525,2525,2595,2600,2600,2550,2625,2695,2700,2700,2650,2597.5,2500,2700,2700,2850,2800,2495,2700,2795,2800,2795,2795,2800,2800,2800,2800,2900,2897.5,2950,2800,2800,2995,2900,2895,2800,2800,2837.5,2875,2700,2900,2900,2950,2995,2995
"79936","El Paso","TX","El Paso","El Paso",4,,,,,,,,,,,,,,,1012.5,1025,1012.5,995,1000,1050,1000,1000,1050,1050,1097.5,1100,1100,1100,1050,1050,1000,995,995,975,950,975,962.5,977.5,995,995,995,1000,1000,997,950,995,962.5,950,950,950,950,975,967.5,975,950,965,995,1000,1000,999,1000,1040,1035,1050,1050,1037.5,1040,1025,1000,1000,1000,1000,1000,1000,1017.5,995,1000,995,980,1025,950,975,982.5,995,1000,1000,1000,1000
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,3595,3750,3750,3750,3870,3825,3642.5,3600,3700,3995,3995,4225,4197.5,4295,4525,4700,4200,4050,4050,4147.5,4200,4100,4000,4072.5,4200,4150,4150,4250,4300,4200,4200,4200,4295,4300,4350,4400,4295,4495,4500,4539,4450,4269,4269,4200,4450,4500,4300,4625,4675,4650,4695,4650,4580,4539.5,4580,4540,4475,4797.5,4700,4550,4875,4695,4750,4550,4800,4583,4550,4672.5,4497.5,4495,4493.5,4495,4495
"60640","Chicago","IL","Chicago","Cook",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2199.5,1900,2100,2200,2200,2125,2195,2250,2100,2045,2095,2150,1995,2200,2200,2295,2200,2000,2199,2195,2200,1995,1972.5,2050,2150,2300,2300,2250,2200
"77084","Houston","TX","Houston","Harris",7,,,,,,,,,,,,,,,,,,,1200,1150,1150,1095,1065,1095,1100,1100,1125,1162.5,1200,1150,1148,1200,1225,1250,1263.5,1325,1251,1282,1385,1347,1375,1340,1335,1360,1335,1350,1424,1350,1335,1335,1300,1312,1350,1350,1345,1300,1345,1324.5,1322,1350,1350,1350,1380,1380,1400,1400,1400,1395,1395,1400,1375,1395,1395,1400,1400,1449.5,1400,1419,1395,1400,1395,1350,1395,1392.5,1400,1400,1400,1400
"75070","McKinney","TX","Dallas-Fort Worth","Collin",8,,,,,,,,,,,,1395,1395,1395,1500,1500,1450,1450,1495,1425,1445,1485,1495,1450,1500,1513,1550,1497,1495,1500,1462.5,1450,1495,1450,1470,1450,1500,1522,1550,1550,1550,1595,1625,1630,1595,1595,1595,1595,1595,1597,1600,1600,1620,1595,1597,1600,1650,1650,1650,1650,1662.5,1650,1677.5,1695,1680,1691,1695,1666.5,1695,1700,1696.5,1695,1695,1695,1750,1700,1749.5,1750,1650,1687.5,1750,1695,1745,1750,1750,1757.5,1795,1795
"11226","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,1800,1725,1725,1700,1975,1937.5,1899.5,1800,1875,1841,1875,1900,1950,1900,1900,2100,2125,2200,2300,2250,2100,2000,2100,2000,2100,2100,2150,2150,2200,2200,2100,2150,2300,2295,2100,2100,2200,2300,2300,2450,2400,2350,2375,2375,2325,2300,2300,2400,2400,2400,2399,2350,2400,2400,2400,2500,2450,2400,2350,2400,2397,2400,2495,2500,2500
"77494","Cinco Ranch","TX","Houston","Fort Bend",10,,,,,,,,,,,,,,,,,,,,,,,,,1650,1625,1600,1600,1750,1700,1650,1650,1650,1650,1687.5,1750,1800,1800,1850,1795,1750,1795,1800,1812,1823,1823,1823,1823,1823,1800,1800,1850,1850,1850,1850,1842.5,1850,1850,1829,1833,1841.5,1890,1890,1885,1850,1895,1900,1850,1845,1825,1850,1800,1800,1810,1800,1800,1850,1800,1800,1750,1700,1800,1750,1785,1750,1775,1775,1800
"77449","Cypress","TX","Houston","Harris",11,,,,,,,,,,,,,,,1100,1150,1150,1150,1175,1195,1150,1100,1150,1150,1150,1200,1200,1200,1200,1200,1200,1200,1200,1250,1200,1195,1225,1200,1262.5,1250,1250,1300,1300,1300,1300,1295,1300,1250,1229.5,1250,1324.5,1350,1350,1350,1345,1350,1350,1350,1350,1350,1350,1375,1395,1395,1397.5,1380,1375,1400,1395,1395,1375,1395,1395,1422.5,1377.5,1400,1439,1375,1356,1365,1360,1375,1350,1350,1375,1395,1400,1400
"11375","New York","NY","New York","Queens",12,,,,,,,,,,,,,,,,,,,2595,2800,2800,2300,2495,2725,2595,2645,2695,2700,2995,3200,2800,2695,2750,2875,2800,2873,2800,2850,2700,3100,3250,3200,3100,3000,3000,3000,3000,3000,3000,2997,2999,2895,2800,3200,3200,3245,3100,3050,3000,3200,3200,3125,2999.5,2999,2995,2872.5,2995,2997,3100,3100,3099.5,2860,2800,2855,3200,2900,3225,3200,3200,3295,3225,3000,2947.5,2875,3147.5,3200,3100,3200
"10016","New York","NY","New York","New York",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5745,5633,5900,5900,5797.5,5763,5690,5745,5700,5500,5566,5583,5533,5500,5557.5,5633,5500,5745,5745.5,5655.5,5450,5450,5500,5500,5500,5800,5565,5500,5780,5639,6000,6000,5746,5800,5825
"11235","New York","NY","New York","Kings",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2387.5,2325,2400,2350,2300,2500,2300,2700,2500,2300,2300,2400,2400,2325,2300,2300,2300,2300,2300,2350,2200,2297.5,2300,2300,2300,2399,2424.5,2500,2500,2500,2500,2300,2325,2400,2400,2500,2400,2500,2300,2500,2500,2450,2450,2450,2400,2399,2500,2587,2450
"60647","Chicago","IL","Chicago","Cook",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2050,2100,2080,1995,1995,1995,1950,1900,2100,2095,2000,2000,2097.5,2200,2250,2100,2195,2095,1995,1997.5,2095,2000,2000,2195,2195,2195
"37211","Nashville","TN","Nashville","Davidson",16,,,,,,,,,,,,,,,,,1350,1350,1295,1250,1193,1295,1250,1295,1300,1368.5,1350,1450,1400,1300,1197,1205,1350,1390,1200,1240,1311.5,1346,1175,1188,1258,1327,1395,1400,1395,1395,1395,1397.5,1395,1395,1456,1397.5,1441,1450,1450,1495,1400,1500,1525,1497.5,1462.5,1550,1462.5,1481,1537.5,1625,1675,1500,1595,1595,1597.5,1560,1500,1595,1597.5,1595,1622.5,1600,1595,1462.5,1525,1600,1565,1695,1695,1624,1650,1650
"37013","Nashville","TN","Nashville","Davidson",17,,,,,,,,,,,,,1099,1150,1112.5,1100,1125,1125,1095,1095,1054.5,1050,1050,1079,1082,1112.5,1195,1125,1200,1150,1139,1100,1100,1150,1100,1110,1149,1150,1129,1100,1100,1195,1150,1195,1134.5,1150,1195,1225,1250,1250,1250,1295,1250,1250,1250,1295,1362.5,1335,1295,1300,1375,1350,1297,1295,1295,1300,1395,1395,1375,1350,1395,1360,1395,1385,1395,1337,1395,1449,1395,1375,1400,1395,1450,1425,1432,1495,1450,1477.5
"10009","New York","NY","New York","New York",18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5374,5374,4495,4350,4425,4450,4400,4350,4400,4495,4350,4395,4470,4395,4490,4495,4470,4495,4400,4297.5,4250,4272.5,4200,4350,4300,4495,4500,4500,4500
"60618","Chicago","IL","Chicago","Cook",19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,1910,1995,1800,1700,1750,1700,1725,1700,1800,1985,1925,2100,2100,2000,1985,1850,1800,1800,1800,1695,1700,1800,1900,1975,2000,2000,1950,1975,1950,1950,1850,1850,1887.5,1900,1962.5,2000,2100,2097.5,2000,1990,2000,1875,2100,2100,2100,2100,2000
"10029","New York","NY","New York","New York",20,,,,,,,,,,,,,,,,2995,2895,2797.5,2725,2550,2625,2995,3095,3000,3095,3300,3390,3450,3300,3395,3495,3495,3495,3397,3395,3395,3395,3395,3399,3300,3200,3295,3400,3495,3495,3495,3400,3400,3400,3400,3400,3495,3450,3445,3450,3425,3395,3395,3295,3295,3150,3300,3500,3500,3450,3450,3425,3400,3399,3325,3400,3400,3500,3499,3400,3495,3295,3500,3450,3450,3450,3400,3425,3375,3300,3425,3495,3450
"10128","New York","NY","New York","New York",21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5072.5,4800,4800,5295,5295,4900,4925,5200,4600,4017.5,4400,4400,4350,4272.5,4187.5,4400,4300,4250,4200,4092,4185,4497.5,4225,4497.5,4050,4400,4275,4547.5,4400,4355,4547.5,4597.5,4495,4597.5,4300
"10011","New York","NY","New York","New York",22,,,,,,,,,,,,,,,4315,4500,4890,5300,5250,5195,5000,5190,5000,5050,4995,4995,5000,5195,5400,5400,5400,5592.5,5625,5495,5300,5295,5350,5475,5495,5495,5500,5500,5500,5500,5572.5,5595,5495,5495,5595,5505,5500,5695,6450,5753,5615,5495,5600,5595,5595,5595,5550,5800,5864,6000,5995,5995,6200,6500,5995,6072.5,6175,5995,5995,5995,5995,5966.5,5595,5800,5350,5697.5,5411,5700,6137.5,5795,5522.5,5712,6175,6137.5
"28269","Charlotte","NC","Charlotte","Mecklenburg",23,,,,,,,,,,,962.5,995,975,1050,985,1025,1120,1095,1050,1050,1050,1050,1000,997.5,1050,1095,1050,1095,1100,1100,1095,1100,1095,1080.5,1090,1095,1095,1109.5,1119,1105,1100,1153,1150,1150,1100,1095,1095,1100,1100,1100,1150,1150,1195,1157.5,1150,1150,1175,1150,1175,1150,1195,1210,1217.5,1245,1250,1250,1233,1250,1225,1225,1250,1250,1275,1250,1275,1275,1289,1285,1295,1250,1275,1250,1275,1300,1305,1350,1400,1395
"30349","Riverdale","GA","Atlanta","Clayton",24,,,,,,,,,,,,950,950,962.5,962.5,975,950,950,950,900,900,900,950,925,950,925,925,950,950,932.5,937.5,920,925,900,900,900,925,925,925,935,925,900,903.5,940,925,925,925,925,925,925,950,950,950,925,900,900,925,925,925,925,950,950,950,975,962.5,950,975,950,950,950,950,950,950,975,975,975,1000,985.5,1050,995,997.5,1025,980,1000,1000,997,1022.5,1050
"79912","El Paso","TX","El Paso","El Paso",25,,,,,,,,,,,,,1395,1395,1325,1295,1222.5,1200,1295,1300,1272.5,1250,1295,1250,1250,1325,1350,1350,1300,1300,1300,1297.5,1295,1250,1200,1225,1200,1247.5,1297.5,1250,1200,1275,1250,1200,1250,1295,1250,1295,1250,1200,1250,1275,1250,1200,1200,1250,1200,1200,1225,1250,1250,1250,1295,1295,1262.5,1250,1200,1200,1200,1200,1250,1200,1200,1197,1200,1250,1250,1250,1225,1150,1200,1150,1200,1250,1200,1200,1249,1250
"10003","New York","NY","New York","New York",26,,,,,,,,,,,,,,,,,,,,4500,4400,4300,4447.5,4495,4400,4400,4500,4500,4650,4800,4950,4900,4837.5,4700,4700,4650,4650,4700,4750,4795,4795,4795,4700,4700,4650,4650,4750,4800,4900,4900,4900,4900,5200,5200,5125,5000,5000,5140,5100,5000,5162.5,5100,5100,5000,5000,4999,5000,5162.5,5000,5000,5000,5000,5150,5150,5000,5200,5000,5047.5,5000,4898.5,4900,4900,5000,5050,5150,5160,5100,5000
