"RegionName","City","State","Metro","CountyName","SizeRank","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,3200,3025,3485,3566.5,3497.5,3225,3300,3450,3400,3350,3350,3450,3500,3700,3500,3455,3320,3300,3400,3450,3461,3500,3400,3350,3500,3450,3500,3500,3500,3350,3400,3402.5,3300,3195,3217,3325,3350,3325,3375,3402.5,3405,3400,3350,3295,3325,3300,3297.5,3400,3500,3405,3402.5,3500,3525,3500,3452.5,3405,3375,3375,3400,3400,3400,3400,3500,3400,3452.5,3400,3300,3300,3350,3267
"10023","New York","NY","New York","New York",2,,,,,,,,,,,,,,3293,3225,3130,3400,3450,3237.5,3400,3719,3500,3697.5,3697.5,3490,3500,3525,3697.5,3846.5,3995,3897.5,3700,3450,3435,3442.5,3350,3350,3150,3300,3359,3150,3061.5,3150,3090,3000,3000,2850,2800,2875,2900,3195,3150,2893,3043,3295,3297.5,3300,3183.5,3175,3021.5,3000,3150,3150,3300,3350,3350,3300,3175,3104.5,3139.5,3043,3021.5,3021.5,3043,3233.5,3217,3021.5,3272.5,3061.5,3115,3200,3217,3080,3122.5,3050,3062.5,3050,3021.5
"79936","El Paso","TX","El Paso","El Paso",3,,,,,,,,,,,,,1025,1100,1100,1050,1072.5,1000,1000,1090,1072.5,1000,1050,1050,1095,1095,1000,1100,1100,1050,1045,1000,1000,995,975,992.5,995,995,995,995,995,1000,999,995,962.5,995,975,980,990,985,1000,1000,995,995,995,995,1000,995,995,995,1000,1037.5,1025,1050,1050,1050,1050,1025,1000,995,1000,1000,1012.5,1000,1000,997,1000,995,995,995,975,975,995,995,1050,1050,1010,1050
"77084","Houston","TX","Houston","Harris",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1397.5,1350,1350,1337.5,1350,1325,1350,1395,1350,1400,1400,1400,1395,1445,1400,1400,1400,1409,1417,1450,1450,1495,1450,1450,1400,1400,1425,1400,1450,1450,1450,1450,1460,1450,1450,1450,1449.5,1400,1400,1400,1400,1400,1450,1450,1450
"75070","McKinney","TX","Dallas-Fort Worth","Collin",5,,,,,,,,,,,,1450,1495,1547.5,1600,1595,1575,1575,1600,1600,1600,1562.5,1585,1595,1595,1650,1650,1595,1625,1600,1595,1595,1600,1650,1650,1650,1650,1695,1695,1695,1650,1650,1697.5,1695,1695,1675,1650,1650,1695,1695,1700,1700,1700,1712.5,1700,1700,1750,1750,1750,1700,1750,1750,1750,1754.5,1795,1795,1800,1795,1796.5,1850,1795,1795,1795,1797,1800,1800,1850,1850,1850,1895,1900,1795,1850,1850,1895,1850,1850,1850
"77494","Cinco Ranch","TX","Houston","Fort Bend",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,2050,2100,2100,2200,2200,2100,2195,2100,2100,2100,2150,2150,2225,2300,2200,2300,2300,2200,2200,2300,2300,2300,2250,2300,2300,2287.5,2300,2350,2250,2250,2200,2200,2150,2125,2200,2225,2172.5,2200,2150,2100,2250,2150,1985,2100,2000,2000,2000,2000,2000,2100
"77449","Cypress","TX","Houston","Harris",7,,,,,,,,,,,1285,1200,1200,1250,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1250,1250,1300,1250,1250,1295,1287.5,1250,1275,1295,1250,1200,1300,1300,1350,1350,1325,1400,1400,1397.5,1400,1400,1350,1324,1300,1350,1395,1375,1400,1400,1400,1400,1400,1400,1400,1400,1425,1475,1475,1475,1450,1450,1450,1475,1450,1450,1450,1450,1450,1475,1450,1475,1495,1450,1429,1450,1450,1400,1400,1400,1400,1400,1425,1425
"10016","New York","NY","New York","New York",8,,,,,,,,,,,,2700,3020,2855,3035,2997.5,3010,3200,3150,3150,3400,3322.5,3272.5,3150,3095,3082.5,3100,3195,3151,3160,3200,3262.5,3295,3287.5,3255,3291,3255,3295,3295,3296,3200,3295.5,3296,3325,3300,3350,3300,3300,3300,3300,3380,3323,3380,3475,3497.5,3465,3475,3485,3512.5,3475,3557.5,3557.5,3575,3608,3575,3500,3587.5,3512.5,3500,3512.5,3532.5,3550,3540,3550,3625,3591.5,3512.5,3500,3557.5,3540,3525,3500,3624,3575,3575,3575,3532.5,3575
"37211","Nashville","TN","Nashville","Davidson",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1395,1475,1450,1475,1595,1500,1550,1597,1595,1487.5,1525,1572.5,1500,1525,1600,1695,1500,1595,1585,1597.5,1600,1595,1500,1650,1495,1650,1600,1600,1550,1597.5,1572.5,1595,1695,1700,1650,1672.5,1700
"37013","Nashville","TN","Nashville","Davidson",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250,1272.5,1300,1300,1267.5,1250,1250,1350,1350,1375,1295,1347.5,1300,1300,1295,1347.5,1395,1385,1362.5,1395,1395,1395,1372.5,1395,1345,1395,1475,1412.5,1397.5,1395,1395,1397,1425,1450,1395,1449.5,1495,1450,1495,1430,1495,1495,1495,1492,1495,1500,1520,1525
"10029","New York","NY","New York","New York",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3495,3100,3300,3495,3495,3400,3400,3250,3200,3495,3525,3550,3500,3400,3500,3497.5,3497.5,3400,3400,3495,3447.5,3447.5,3550,3550,3400,3400,3300,3497.5,3500,3572.5,3550,3550,3550,3572.5,3550,3525,3572.5,3595,3550,3500,3500,3500,3500,3447.5,3497.5
