Address,City,Year Built,Last Sale Date,Zip,Beds,Baths,Sqft,Lot Size,HOA_Due,ES_Score,MS_Score,HS_Score,Walk_Score,Transit_Score,Views,Favorites,Cross_Outs,IsCondo,Last Sale Price
428 Kent Dr,MOUNTAIN VIEW,2005,6/7/2017,94043,3,2.5,1352,1071,233,8,8,10,23,42,952,109,10,0,1440000
127 Frederick Ct,MOUNTAIN VIEW,1998,5/19/2017,94043,2,2.5,1119,868,217,8,8,10,29,43,710,112,12,0,1220000
59 Tyrella Ct,MOUNTAIN VIEW,1990,6/7/2017,94043,3,2.5,1700,435,475,10,8,10,49,40,1068,126,14,0,1385000
106 Evandale Ave,MOUNTAIN VIEW,2015,6/28/2017,94043,3,3.5,1771,1281,182,7,8,9,54,38,1217,61,13,0,1585000
645 Tyrella Ave,MOUNTAIN VIEW,2016,6/13/2017,94043,2,2.5,1323,1323,278,10,8,10,54,38,1054,123,16,0,1215000
102 Evandale Ave,MOUNTAIN VIEW,2016,7/6/2017,94043,2,2.5,1323,1921,181,7,8,9,54,38,1162,129,15,0,1310000
714 Reflection Way,MOUNTAIN VIEW,2015,5/8/2017,94043,2,2.5,1413,878,281,7,8,9,65,32,1833,128,5,0,1400000
2035 Colony St,MOUNTAIN VIEW,2017,3/7/2017,94043,2,2.5,1423,2530,266,7,8,9,67,32,466,21,10,0,1250000
823 N Rangstorff Ave,MOUNTAIN VIEW,2016,3/22/2017,94043,2,2.5,1423,0,266,7,8,9,72,34,979,34,21,1,1213990
128 Ada Ave #20,MOUNTAIN VIEW,1990,7/7/2017,94043,2,2.5,1353,3600,415,8,8,10,30,48,849,90,14,0,1186000
10 Towne Cir,MOUNTAIN VIEW,2002,6/30/2017,94040,4,3,2128,992,323,7,9,9,57,46,1376,144,20,0,1633000
2236 W Middlefield Rd,MOUNTAIN VIEW,2012,6/1/2017,94043,3,3.5,1941,1074,250,7,8,9,69,37,642,88,10,0,1500000
178 Oberg Ct,MOUNTAIN VIEW,2006,7/22/2017,94043,3,2.5,1369,894,233,8,8,10,23,42,1042,105,10,0,1320000
821 N Rangstorff Ave,MOUNTAIN VIEW,2017,3/22/2017,94043,4,3.5,1863,0,266,7,8,9,72,34,486,25,14,1,1450000
827 N Rangstorff Ave,MOUNTAIN VIEW,2016,3/28/2017,94043,4,3.5,1863,0,266,7,8,9,71,34,1116,34,26,1,1420000
858 Avery Dr,MOUNTAIN VIEW,2010,5/2/2017,94043,3,2.5,1634,0,243,7,8,9,64,32,923,96,12,1,1461001
2223 Raspberry Ln,MOUNTAIN VIEW,2008,3/22/2017,94043,3,2.5,1703,1131,230,7,8,9,70,36,1644,186,10,0,1370000
1963 Colony St,MOUNTAIN VIEW,2016,6/19/2017,94043,4,3.5,1748,2399,245,7,8,9,64,32,685,73,7,0,1550000
855 Sycamore Loop,MOUNTAIN VIEW,2016,6/19/2017,94043,4,3.5,1748,0,245,7,8,9,60,32,521,66,8,1,1503000
1952 San Luis Ave,MOUNTAIN VIEW,2016,3/17/2017,94043,3,2.5,1496,2038,253,6,8,9,45,32,939,40,17,0,1588000
205 Hockney Ave,MOUNTAIN VIEW,2011,4/5/2017,94041,3,3.5,1637,2520,267,8,9,10,34,42,1103,135,13,0,1428000
608 Hope St,MOUNTAIN VIEW,2016,8/8/2017,94041,3,2.5,2178,0,572,8,9,10,88,54,2806,139,34,1,1900000
492 Kahlo St,MOUNTAIN VIEW,2011,11/10/2016,94041,3,3.5,1637,2520,262,8,9,10,34,42,1240,127,15,0,1370000
235 Miro Ave,MOUNTAIN VIEW,2010,7/12/2017,94041,3,3.5,1637,2520,267,8,9,10,34,42,787,82,11,0,1533142
225 Miro Ave,MOUNTAIN VIEW,2010,5/25/2017,94041,3,3.5,1591,2520,267,8,9,10,34,42,1245,172,21,0,1465000
265 Okeefe Way,MOUNTAIN VIEW,2011,8/12/2016,94041,3,3.5,1637,2520,262,8,9,10,32,42,1419,0,0,0,1185000
411 Chagall St,MOUNTAIN VIEW,2011,3/9/2017,94041,3,3.5,1548,2520,272,8,9,10,25,42,1278,107,14,0,1299999
231 Hockney Ave,MOUNTAIN VIEW,2011,8/12/2016,94041,3,3.5,1548,2520,262,8,9,10,34,42,1240,97,12,0,1250000
451 Magritte Way,MOUNTAIN VIEW,2011,1/3/2017,94041,3,3.5,1591,2520,262,8,9,10,34,42,1236,167,18,0,1360000
,MOUNTAIN VIEW,2017,8/12/2017,94043,2,2.5,1355,,250,8,8,10,30,75,1057,100,13,0,
,MOUNTAIN VIEW,2017,8/12/2017,94043,3,3.5,1552,,250,8,8,10,30,75,1057,100,13,0,
